,img,label
34,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_ZY302_20180921.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_ZY302_20180921.txt
35,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1B_20190916.txt
36,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1C_20190305.txt
37,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1D_20181120.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1D_20181120.txt
38,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1_20190908.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF1_20190908.txt
39,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF2_20191015.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF2_20191015.txt
40,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF6_20190731.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_GF6_20190731.txt
41,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_ZY302_20190317.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\109_ZY302_20190317.txt
42,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1B_20191112.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1B_20191112.txt
43,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1C_20190730.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1C_20190730.txt
44,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1D_20191119.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1D_20191119.txt
45,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1_20191129.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF1_20191129.txt
46,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF2_20191118.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF2_20191118.txt
47,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF6_20190926.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_GF6_20190926.txt
48,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_ZY302_20190406.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\115_ZY302_20190406.txt
49,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1B_20191112.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1B_20191112.txt
50,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1C_20190917.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1C_20190917.txt
51,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1D_20190902.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1D_20190902.txt
52,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1_20190924.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF1_20190924.txt
53,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF2_20190831.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF2_20190831.txt
54,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF6_20190926.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_GF6_20190926.txt
55,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_ZY302_20191005.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\118_ZY302_20191005.txt
56,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1B_20190516.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1B_20190516.txt
57,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1C_20190730.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1C_20190730.txt
58,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1D_20190902.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1D_20190902.txt
59,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1_20190924.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF1_20190924.txt
60,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF2_20190831.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF2_20190831.txt
61,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF6_20190926.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_GF6_20190926.txt
62,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_ZY302_20191005.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\120_ZY302_20191005.txt
63,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF1C_20190730.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF1C_20190730.txt
64,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF1D_20190902.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF1D_20190902.txt
65,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF2_20190831.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF2_20190831.txt
66,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF6_20190926.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_GF6_20190926.txt
67,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_ZY302_20191005.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\122_ZY302_20191005.txt
68,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1B_20190324.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1B_20190324.txt
69,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1C_20190929.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1C_20190929.txt
70,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1D_20191001.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1D_20191001.txt
71,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1_20191027.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF1_20191027.txt
72,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF2_20190618.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF2_20190618.txt
73,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF6_20190628.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_GF6_20190628.txt
74,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_ZY302_20190723.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\124_ZY302_20190723.txt
75,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1B_20190916.txt
76,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1C_20190305.txt
77,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1D_20181120.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1D_20181120.txt
78,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1_20190908.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF1_20190908.txt
79,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF2_20191113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF2_20191113.txt
80,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF6_20190727.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_GF6_20190727.txt
81,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_ZY302_20190317.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\130_ZY302_20190317.txt
82,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1B_20190916.txt
83,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1C_20190305.txt
84,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1D_20190821.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1D_20190821.txt
85,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1_20190614.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF1_20190614.txt
86,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF2_20191113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_GF2_20191113.txt
87,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_ZY302_20180921.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\131_ZY302_20180921.txt
88,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1B_20190916.txt
89,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1C_20190305.txt
90,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1D_20190821.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1D_20190821.txt
91,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1_20190614.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF1_20190614.txt
92,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF2_20180416.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF2_20180416.txt
93,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF6_20190731.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_GF6_20190731.txt
94,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_ZY302_20180921.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\132_ZY302_20180921.txt
95,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_GF2_20180623.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_GF2_20180623.txt
96,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_GF6_20190624.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_GF6_20190624.txt
97,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_ZY302_20191015.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\13_ZY302_20191015.txt
98,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1B_20190814.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1B_20190814.txt
99,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1C_20191109.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1C_20191109.txt
100,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1_20190311.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF1_20190311.txt
101,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF2_20190821.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF2_20190821.txt
102,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF6_20190714.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_GF6_20190714.txt
103,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_ZY302_20190827.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\140_ZY302_20190827.txt
104,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1B_20190227.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1B_20190227.txt
105,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1C_20190925.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1C_20190925.txt
106,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1_20181002.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF1_20181002.txt
107,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF2_20180415.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF2_20180415.txt
108,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF6_20190603.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_GF6_20190603.txt
109,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_ZY302_20180507.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\141_ZY302_20180507.txt
110,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1B_20190924.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1B_20190924.txt
111,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1C_20190929.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1C_20190929.txt
112,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1D_20191119.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1D_20191119.txt
113,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1_20191027.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF1_20191027.txt
114,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF2_20190116.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF2_20190116.txt
115,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF6_20190922.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_GF6_20190922.txt
116,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_ZY302_20190723.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\142_ZY302_20190723.txt
117,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1B_20190916.txt
118,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1C_20190305.txt
119,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1D_20191111.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1D_20191111.txt
120,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1_20190908.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF1_20190908.txt
121,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF2_20191113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF2_20191113.txt
122,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF6_20191021.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_GF6_20191021.txt
123,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_ZY302_20180916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\146_ZY302_20180916.txt
124,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1B_20190916.txt
125,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1C_20190305.txt
126,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1D_20190519.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1D_20190519.txt
127,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1_20190405.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF1_20190405.txt
128,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF2_20191113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF2_20191113.txt
129,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF6_20191021.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_GF6_20191021.txt
130,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_ZY302_20180921.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\147_ZY302_20180921.txt
131,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1B_20190113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1B_20190113.txt
132,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1C_20190925.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1C_20190925.txt
133,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1D_20190906.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1D_20190906.txt
134,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1_20191031.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF1_20191031.txt
135,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF2_20190929.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF2_20190929.txt
136,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF6_20190624.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_GF6_20190624.txt
137,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_ZY302_20190421.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\14_ZY302_20190421.txt
138,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\151_GF1_20190908.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\151_GF1_20190908.txt
139,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1B_20190430.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1B_20190430.txt
140,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1D_20190327.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1D_20190327.txt
141,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1_20191015.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF1_20191015.txt
142,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF2_20180915.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF2_20180915.txt
143,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF6_20190727.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_GF6_20190727.txt
144,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_ZY302_20190317.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\153_ZY302_20190317.txt
